ProbeID	RefseqBlastZebrafishGene	RefseqBlastZebrafishNucleotide	Number of Different Genes hit with highest stringency
A_15_P368220	si:ch211-191d2.2	XM_009294675 	1
CUST_20793_PI425730982	ftr64	XM_002661839 	1
CUST_23879_PI425730982	scube1	NM_001260500 	1
A_15_P162916	nat15	NM_001082872 	1
A_15_P202731	bcl11ba	XM_009292961 	1
A_15_P206966	camk1gb	NM_200829 	1
A_15_P364392	LOC567822	XM_009298706 	1
A_15_P201011	pcyt1ab	NM_001020735 	1
A_15_P115741	msi1	NM_001013516 	1
A_15_P394265	si:busm1-234g15.3	XM_680029 	1
A_15_P104039	hoxb1a	NM_131115 	1
A_15_P118310	sdhda	NM_001002489 	1
CUST_1741_PI425731064	snx19	XM_692341 	1
A_15_P625441	adora1	NM_001128584 	1
A_15_P260956	colec12	NM_001122840 	1
CUST_23445_PI425730982	phlpp2	XM_002664099 	1
A_15_P739836	si:dkey-7c18.24	NM_001082832 	1
A_15_P160196	edn3	XM_005155680 	1
A_15_P657806	smx5	NM_131496 	1
CUST_5512_PI425730982	zgc:153044	NM_001045393 	1
A_15_P671656	crygm1	NM_001007785 	1
A_15_P289696	olfcg3	NM_001109942 	1
A_15_P728011	tmem150a	NM_001045410 	1
A_15_P101196	gcm2	NM_001005603 	1
A_15_P721516	yeats4	NM_001002752 	1
A_15_P141051	tbce	NM_001039989 	1
A_15_P625651	acsl1a	NM_001031837 	1
A_15_P105555	hsdl1	NM_001008607 	1
A_15_P104180	csnk1e	NM_212747 	1
CUST_11843_PI425730982	psmd9	NM_001002436 	1
CUST_10104_PI425730982	tmeff2a	NM_001128365 	1
A_15_P121248	sycp1	NM_001118894 	1
A_15_P412470	LOC797190	XM_009304972 	1
A_15_P116641	apba1b	XM_688787 	1
A_15_P623092	rbm4.3	NM_213317 	1
A_15_P465645	gpd2	XM_005165843 	1
A_15_P411850	zbtb3	XM_009291211 	1
A_15_P132706	sps2	NM_001004295 	1
A_15_P630766	zp3a.1	NM_001013271 	1
A_15_P567152	akap1b	NM_001098179 	1
A_15_P203692	si:dkey-288i20.1	NM_001256219 	1
A_15_P222771	LOC100150205	XM_009299388 	1
A_15_P734369	pogza	NM_001214910 	1
A_15_P151846	gspt1l	NM_198806 	1
A_15_P235536	LOC103909745	XM_009297321 	1
A_15_P291666	LOC103910264	XM_009299511 	1
A_15_P133561	msna	NM_001004296 	1
CUST_20077_PI425730982	si:ch211-105j21.7	NM_001256640 	1
A_15_P684881	LOC100536949	XM_009303620 	1
CUST_5095_PI425730982	casp6l2	NM_001039980 	1
A_15_P329011	penka	NM_200083 	1
A_15_P620956	dnmt3ab	NM_001018140 	1
A_15_P508747	stau2	NM_200925 	1
A_15_P110294	oc90	NM_001080192 	1
CUST_22640_PI425730982	tmem168b	XM_681870 	1
A_15_P186691	si:dkey-46i24.4	XM_677888 	1
A_15_P413380	celsr3	XM_009304016 	1
CUST_10100_PI425730982	or124-2	NM_001128421 	1
A_15_P237426	b3gnt5a	NM_198876 	1
CUST_9516_PI425730982	si:ch211-165e15.1	XM_009292040 	1
A_15_P631186	klc2	NM_001083550 	1
CUST_8810_PI425730982	taar20c1	XM_009305626 	1
CUST_3173_PI425730982	cx28.9	NM_001007324 	1
A_15_P747901	apoeb	NM_131098 	1
CUST_22244_PI425730982	LOC101884492	XM_005155967 	1
CUST_362_PI425730982	sim1a	NM_178222 	1
CUST_14019_PI425730982	tmprss15	XM_001919604 	1
CUST_11335_PI425730982	LOC101886664	XM_009298848 	1
CUST_855_PI425730982	hiat1a	NM_199584 	1
A_15_P142661	rhcga	NM_001089577 	1
A_15_P755026	acp5a	NM_214773 	1
A_15_P103476	hnrnph3	NM_001040349 	1
CUST_2528_PI425731107	slc25a10	XM_002661240 	1
A_15_P661821	znf106a	XM_003200378 	1
A_15_P696151	wu:fb11f10	XM_005166359 	1
A_15_P114615	gngt2a	NM_001302501 	1
A_15_P173091	zgc:158403	NM_001080084 	1
CUST_1537_PI425731107	LOC100536291	XM_009302336 	1
A_15_P119461	ptpn23a	NM_001202507 	1
A_15_P530312	mxra8a	NM_001080582 	1
A_15_P103914	fgf7	NM_001007761 	1
A_15_P564272	lnx1	NM_001075113 	1
A_15_P136936	si:ch211-253p14.2	XM_693582 	1
A_15_P632836	psmd4b	NM_001017624 	1
A_15_P307231	LOC100002679	XM_009305267 	1
A_15_P155221	LOC100334365	XM_002660588 	1
CUST_9530_PI425730982	LOC100148917	XM_009292312 	1
A_15_P516507	fras1	XM_009301656 	1
A_15_P737761	npc2	NM_173224 	1
A_15_P674217	myh10	XM_677954 	1
A_15_P632416	ptpn4b	NM_001044313 	1
A_15_P199506	tgm1l1	XM_689858 	1
A_15_P173201	znf865	NM_001083075 	1
A_15_P676006	LOC100005596	XM_005157165 	1
A_15_P748921	rnf2	NM_131213 	1
CUST_1989_PI425731064	ppp1r9bb	XM_009306518 	1
A_15_P627564	cnot6	NM_212660 	1
A_15_P373580	wu:fj30b09	XM_003199547 	1
CUST_22492_PI425730982	LOC100537160	XM_005161483 	1
A_15_P724471	abi1a	XM_005162499 	1
A_15_P181961	si:ch211-81a5.1	XM_009294070 	1
A_15_P111266	pomp	NM_001003424 	1
A_15_P187931	micall2a	XR_223325 	1
A_15_P194771	si:dkey-11p23.7	NM_001102395 	1
A_15_P711771	LOC100148657	XM_009293838 	1
A_15_P444960	slc37a3	XM_009303888 	1
A_15_P378795	si:dkey-192l18.9	XM_001344819 	1
A_15_P152851	myo6b	NM_001004110 	1
A_15_P580372	LOC100330353	XM_002662838 	1
A_15_P163636	prkacba	NM_201023 	1
A_15_P169431	nfil3-6	NM_001002218 	1
A_15_P629401	efhd2	NM_001045211 	1
A_15_P663641	rlbp1a	NM_200705 	1
A_15_P363610	garnl3	NM_001128527 	1
CUST_7647_PI425730982	tnfrsf18	NM_001113524 	1
A_15_P308361	tmtops2a	NM_001281505 	1
A_15_P109355	tceb1a	XM_009297330 	1
A_15_P175846	prf1.6	NM_001089507 	1
CUST_949_PI425730982	grinab	NM_201208 	1
A_15_P378860	mat2ab	NM_001014296 	1
A_15_P493382	zgc:162730	NM_001089404 	1
CUST_22679_PI425730982	hectd2	XM_686363 	1
A_15_P378370	nrxn1a	NM_001080021 	1
A_15_P719831	mlst8	NM_199877 	1
A_15_P740849	LOC100003182	XM_001342767 	1
A_15_P649081	ctnna2	NM_001159372 	1
A_15_P595797	c2cd2	XM_009305500 	1
A_15_P334039	LOC101883045	XM_005159589 	1
A_15_P761946	LOC569566	XM_692962 	1
A_15_P736971	adcyap1b	NM_214715 	1
A_15_P755701	rtn1a	NM_199652 	1
CUST_729_PI425730982	porcnl	NM_199849 	1
A_15_P171941	zgc:163047	NM_001089564 	1
A_15_P287526	si:ch211-168n16.1	XM_002660930 	1
A_15_P113660	cryba2b	NM_001002584 	1
A_15_P100147	amd1	NM_001161601 	1
A_15_P165961	LOC563111	XM_005173364 	1
A_15_P568712	LOC100332354	XM_002667291 	1
A_15_P398990	LOC101883690	XR_659090 	1
A_15_P679161	msnb	NM_001256251 	1
CUST_15485_PI425730982	LOC100151196	XM_009299764 	1
A_15_P733451	wu:fc19g04	XM_687018 	1
A_15_P105730	vps29	NM_200037 	1
A_15_P630881	runx2b	NM_212862 	1
A_15_P117594	atp6v1e1b	NM_173254 	1
CUST_12515_PI425730982	LOC561960	XM_700969 	1
A_15_P148011	slc25a38a	NM_001076602 	1
A_15_P170816	rpusd1	NM_001076753 	1
CUST_3375_PI425730982	naa50	NM_001003623 	1
A_15_P119265	gcsha	NM_001013457 	1
CUST_6659_PI425730982	dlx2b	NM_131297 	1
A_15_P174286	tmigd1	NM_001098248 	1
A_15_P721261	grcc10	NM_212646 	1
A_15_P449745	LOC100007966	XM_009296128 	1
A_15_P263091	col16a1	XM_009294359 	1
A_15_P303786	shrprbck1r	NM_001111200 	1
CUST_4971_PI425730982	hps1	NM_001037688 	1
A_15_P118663	clec16a	XM_005163918 	1
A_15_P628817	kctd4	NM_001002224 	1
A_15_P571257	LOC100537815	XM_009302690 	1
A_15_P163906	sgce	NM_001002594 	1
CUST_15916_PI425730982	si:ch211-254c8.3	XM_009299039 	1
A_15_P185446	dnah9l	XM_009302215 	1
A_15_P188551	rac1l	XM_009295319 	1
A_15_P509637	grin1b	NM_001144131 	1
A_15_P148741	zgc:158263	NM_001080679 	1
A_15_P151541	jazf1a	NM_001044955 	1
A_15_P443985	gtf3c1	XM_002660675 	1
A_15_P308771	mtmr3	NM_200864 	1
A_15_P207356	si:dkey-238c7.16	NM_001044882 	1
A_15_P684006	LOC100330159	XR_660531 	1
A_15_P158406	clmp	XM_690472 	1
A_15_P447720	si:ch1073-280h16.1	XM_009296504 	1
A_15_P364090	LOC796454	XM_001334043 	1
CUST_6097_PI425730982	bcs1l	NM_201182 	1
CUST_23062_PI425730982	hbl2	XM_690255 	1
CUST_13830_PI425730982	im:7158001	XM_009293139 	1
A_15_P116009	tdrd9	XM_005156843 	1
A_15_P376190	ndufs7	NM_001199912 	1
A_15_P110635	cldnh	NM_131767 	1
A_15_P147151	usp24	XM_002665668 	1
A_15_P598442	si:ch211-191a24.3	XM_009294560 	1
CUST_20830_PI425730982	tnpo1	XM_685987 	1
A_15_P291051	snx33	NM_001122855 	1
A_15_P207411	asic4b	NM_214786 	1
A_15_P191496	mei4	NM_001160013 	1
A_15_P474940	si:ch211-114c12.5	XM_009301438 	1
A_15_P720071	fkbp9	NM_001003520 	1
A_15_P623886	ypel3	NM_212790 	1
A_15_P111859	agpat3	NM_213425 	1
CUST_21850_PI425730982	taok3a	XM_001922630 	1
A_15_P190506	itln3	NM_001159584 	1
A_15_P215236	srsf4	NM_199574 	1
A_15_P140141	pdcb	NM_001025464 	1
CUST_3095_PI425730982	plekha8	NM_001007374 	1
A_15_P173951	pigm	NM_200390 	1
A_15_P701341	pl10	NM_130941 	1
A_15_P364630	or117-1	NM_001128388 	1
A_15_P203586	ctbp2a	NM_001195491 	1
A_15_P602357	zgc:162200	NM_001083548 	1
CUST_153_PI425731107	LOC100149199	XM_003200854 	1
A_15_P450640	si:ch73-132f6.5	XM_009306315 	1
CUST_2667_PI425730982	paip1	NM_001003504 	1
A_15_P116590	ptpn12	NM_200669 	1
A_15_P208116	lrtomt	NM_001076768 	1
A_15_P532652	vwa9	NM_199834 	1
A_15_P112834	ssna1	NM_001144793 	1
CUST_20233_PI425730982	gabrg3	XM_009302569 	1
A_15_P716536	si:rp71-17i16.6	XM_005162122 	1
CUST_990_PI425731107	rasgrp2	XM_009295513 	1
A_15_P100216	rcn3	NM_001002158 	1
A_15_P415400	plxna3	NM_001098489 	1
A_15_P750016	sbf1	NM_001045158 	1
A_15_P145336	hectd4	XM_009303669 	1
A_15_P136301	sergef	XM_688940 	1
A_15_P719766	med25	NM_214766 	1
A_15_P170286	glis3	NM_001080607 	1
CUST_13640_PI425730982	LOC100004986	XM_009291395 	1
A_15_P133396	olfcd2	XM_009293679 	1
CUST_1599_PI425730982	hmox1b	NM_205671 	1
CUST_1368_PI425731107	rundc1	XM_003198112 	1
A_15_P120815	cel.2	XM_009295234 	1
A_15_P185551	lepr	NM_001113376 	1
A_15_P413280	zgc:162962	NM_001110482 	1
CUST_7004_PI425730982	si:dkey-266f7.4	NM_001100018 	1
A_15_P147046	ncor1	NM_200276 	1
A_15_P297096	si:ch73-41e3.7	NM_001145612 	1
A_15_P113486	tmem231	NM_200387 	1
CUST_23324_PI425730982	kcnc4	NM_001195196 	1
CUST_1546_PI425731064	samd1b	XM_005163533 	1
A_15_P141751	zgc:110716	NM_001017586 	1
A_15_P110947	tmem110	NM_200467 	1
A_15_P199681	jund	NM_001128342 	1
CUST_24130_PI425730982	LOC100329307	XM_002667684 	1
CUST_14506_PI425730982	si:ch73-281f12.4	NM_001285388 	1
A_15_P758491	brf2	XM_009305651 	1
A_15_P131631	hoxc8a	NM_001005771 	1
A_15_P721561	zgc:92630	XM_005157419 	1
A_15_P199111	si:dkeyp-66d1.7	XM_685301 	1
A_15_P146091	nsmfb	NM_001143901 	1
A_15_P659696	slc9a7	NM_001030077 	1
CUST_21005_PI425730982	LOC103909652	XM_009296618 	1
A_15_P107718	kalrnb	NM_001040393 	1
A_15_P720116	smarcad1a	NM_001020774 	1
A_15_P410000	aspscr1	NM_001017575 	1
A_15_P728371	phc2b	NM_201202 	1
A_15_P182996	LOC570842	XM_009294470 	1
CUST_9129_PI425730982	LOC100334093	XM_009299033 	1
A_15_P772206	LOC100535892	XM_003199653 	1
A_15_P671491	gipc1	NM_001004018 	1
A_15_P735069	hspa8	NM_001110403 	1
A_15_P724701	traf3ip2	XM_009300606 	1
A_15_P165901	pvrl1b	NM_001167569 	1
A_15_P225113	LOC795633	XM_003198202 	1
CUST_5703_PI425730982	bmf1	NM_001045224 	1
A_15_P161626	zgc:153118	NM_001076642 	1
A_15_P626111	gfm2	NM_001077545 	1
A_15_P595897	paqr4	XM_688905 	1
A_15_P111469	rnf2	NM_131213 	1
A_15_P621471	crygm2d3	NM_001080061 	1
A_15_P729016	wu:fj30f06	XM_001331965 	1
A_15_P720811	mif4gdb	NM_001013284 	1
A_15_P183396	nucks1b	NM_001099239 	1
A_15_P103787	spsb4b	NM_001003474 	1
A_15_P405925	ctnnd1	XM_009293442 	1
A_15_P291506	LOC100002814	XM_005172024 	1
A_15_P197346	hps6	XM_005156935 	1
CUST_1067_PI425731107	ccdc88ab	XM_009298332 	1
A_15_P149321	clu	NM_200802 	1
A_15_P660076	cs	NM_199598 	1
CUST_14681_PI425730982	kif26ab	XM_005158963 	1
A_15_P195686	pkz	NM_001040376 	1
A_15_P115224	minos1	NM_001142955 	1
A_15_P113446	opa1	NM_001007298 	1
A_15_P472830	spata20	XM_001920553 	1
A_15_P659336	nalcn	NM_001017549 	1
A_15_P195911	spry4	NM_131826 	1
A_15_P733711	LOC557248	XM_680264 	1
CUST_4806_PI425730982	gpr157	NM_001034174 	1
A_15_P605262	LOC100330487	XM_002667654 	1
A_15_P709281	zgc:158604	NM_001080628 	1
A_15_P136776	ccdc33	XM_005170703 	1
A_15_P585757	agt	NM_198063 	1
A_15_P201321	tspearb	XM_677678 	1
A_15_P139711	ice1	NM_001034965 	1
A_15_P167971	herpud1	NM_001025537 	1
A_15_P194341	nrg1	NM_001277084 	1
A_15_P170901	hdhd3	NM_001045267 	1
A_15_P163091	ldlrap1b	NM_001080635 	1
A_15_P648286	tcf3a	NM_131094 	1
A_15_P631561	usp16	NM_001146097 	1
A_15_P737156	ubap2l	NM_001083066 	1
CUST_2100_PI425731107	LOC103912056	XM_009307671 	1
A_15_P283926	olfcg1	NM_001159840 	1
A_15_P399665	gemin7	NM_001200037 	1
CUST_6680_PI425730982	LOC795615	NM_001083863 	1
A_15_P746171	zglp1	NM_001045449 	1
A_15_P395475	LOC103911852	XM_009306178 	1
CUST_1549_PI425731064	adad2	XM_682091 	1
A_15_P759956	LOC103908855	XM_009291854 	1
A_15_P208531	syncripl	NM_199679 	1
A_15_P205021	krt93	NM_001040359 	1
A_15_P764741	shcbp1	NM_199843 	1
A_15_P101880	rab7	NM_200928 	1
A_15_P240071	zgc:193593	NM_001128717 	1
A_15_P310801	LOC570835	XM_694356 	1
A_15_P669541	arid2	NM_001077763 	1
CUST_23673_PI425730982	LOC570508	XM_693995 	1
CUST_14654_PI425730982	phldb3	XM_002665083 	1
A_15_P154096	trim46b	NM_001083100 	1
A_15_P402065	cdkn2c	NM_001199994 	1
A_15_P399705	LOC564307	XM_679922 	1
A_15_P137811	rbck1	NM_001002168 	1
A_15_P621896	LOC797092	NM_001100058 	1
A_15_P638381	srsf7b	NM_001030267 	1
A_15_P160481	sfmbt1	XM_003199480 	1
A_15_P238426	nr5a1b	NM_212834 	1
A_15_P205881	loxl2b	NM_001080626 	1
A_15_P398920	b3galtlb	NM_001302248 	1
A_15_P114059	pnkd	NM_001256210 	1
A_15_P249166	si:dkey-119f1.1	NM_001128334 	1
A_15_P624986	zgc:110197	NM_001017827 	1
A_15_P720861	alad	NM_001017645 	1
CUST_12576_PI425730982	si:ch211-37e10.2	XM_005162533 	1
CUST_15152_PI425730982	LOC796097	XM_009300680 	1
A_15_P161376	cmasa	NM_001040252 	1
A_15_P140831	bmp5	NM_201051 	1
CUST_849_PI425730982	stx3a	NM_200543 	1
A_15_P731116	ccdc106b	NM_001013305 	1
A_15_P194471	egr3	NM_001002647 	1
A_15_P733051	tm9sf4	NM_200510 	1
A_15_P493912	ptk6b	NM_001076672 	1
A_15_P139256	terf2ip	NM_001202416 	1
A_15_P730596	ccr10	NM_001002675 	1
A_15_P114351	si:ch211-14a17.6	NM_001007179 	1
CUST_2051_PI425730982	rftn2	NM_213420 	1
A_15_P206271	akt2	NM_198146 	1
CUST_2998_PI425731107	LOC100331830	XM_009296411 	1
A_15_P628861	ncl	NM_001076652 	1
A_15_P112353	acp5a	NM_214773 	1
A_15_P194231	rsl24d1	NM_212993 	1
CUST_88_PI425731064	galnt8a	XM_691878 	1
CUST_1602_PI425731064	smim12	NM_001013528 	1
A_15_P629816	txnl4a	NM_001005953 	1
A_15_P569112	pxdc1b	XM_689621 	1
A_15_P690708	zgc:174710	NM_001114702 	1
CUST_20067_PI425730982	LOC100004742	XM_001343935 	1
A_15_P607447	zgc:174288	XM_005171513 	1
A_15_P406040	mrps34	NM_001007376 	1
A_15_P143796	rplp2l	NM_001100436 	1
CUST_950_PI425731064	gna15.2	XM_002667364 	1
A_15_P626721	pdgfab	NM_001076757 	1
CUST_6665_PI425730982	bcan	NM_001083813 	1
A_15_P180076	cacna1da	NM_203484 	1
A_15_P415145	bap1	NM_001163837 	1
CUST_1972_PI425731064	LOC100536595	XM_003199039 	1
CUST_5841_PI425730982	ces2	NM_001077252 	1
A_15_P749566	ghra	NM_001083578 	1
A_15_P111563	dda1	NM_213127 	1
A_15_P350010	ik	NM_199589 	1
CUST_165_PI425731107	ca9	XM_689890 	1
A_15_P415685	mks1	NM_001077373 	1
A_15_P366820	zgc:101679	XM_005160037 	1
A_15_P101664	npsnl	NM_205582 	1
A_15_P741971	pde4ba	XM_009302471 	1
A_15_P550297	shrprbck1r	NM_001111200 	1
A_15_P673656	ndufa4	NM_213025 	1
CUST_10114_PI425730982	or127-1	NM_001128404 	1
A_15_P346140	si:ch211-216l23.1	NM_001080030 	1
A_15_P157906	rab1bb	NM_001002129 	1
CUST_75_PI425730982	foxb1a	NM_131285 	1
A_15_P239966	cdk14	XM_005158463 	1
A_15_P134421	stom	NM_131758 	1
A_15_P165461	vps53	NM_001007458 	1
A_15_P663046	zgc:162544	NM_001089346 	1
A_15_P204321	nr4a3	NM_001172629 	1
A_15_P186351	rab11fip4b	NM_001128825 	1
A_15_P208596	lgsn	NM_001031674 	1
A_15_P365520	lrit2	NM_001020536 	1
A_15_P664886	srsf5b	XM_005160668 	1
A_15_P282046	sox9a	NM_131643 	1
A_15_P630001	si:ch211-57i17.1	NM_001077432 	1
A_15_P307946	pak6b	NM_001162487 	1
CUST_6875_PI425730982	hexim1	NM_001098389 	1
CUST_2069_PI425730982	arl4ab	NM_200318 	1
A_15_P158026	robo3	NM_131482 	1
CUST_4743_PI425730982	bloc1s2	XM_009294564 	1
A_15_P112758	crybb1l3	NM_001102390 	1
A_15_P114851	slc7a4	NM_194427 	1
A_15_P117482	hhatla	NM_200887 	1
A_15_P739911	tdrd7a	NM_001099343 	1
A_15_P120941	cmss1	NM_001006048 	1
A_15_P135216	cltb	XM_005168222 	1
A_15_P173671	zgc:153720	NM_001076657 	1
CUST_4328_PI425730982	il17a/f2	NM_001020798 	1
CUST_509_PI425731064	htr6	XM_009297078 	1
CUST_7447_PI425730982	si:dkey-226m8.7	NM_001110287 	1
A_15_P723916	lin28a	NM_201091 	1
CUST_7267_PI425730982	flr	NM_001104649 	1
A_15_P620196	fancg	NM_205639 	1
A_15_P562268	LOC795051	XM_005156534 	1
A_15_P384925	dock9b	XM_009302253 	1
A_15_P632386	naa20	NM_001014329 	1
A_15_P621631	zgc:110283	NM_001017605 	1
A_15_P116273	nsa2	NM_199568 	1
A_15_P207136	paf1	NM_001024453 	1
A_15_P620067	mcm3l	NM_001171068 	1
CUST_1141_PI425730982	osgn1	NM_200186 	1
A_15_P164886	LOC100329592	XM_002664517 	1
A_15_P491577	fam160a2	NM_001130857 	1
A_15_P179456	ccdc69	XM_009291079 	1
CUST_4495_PI425730982	dnajb9a	NM_001025184 	1
A_15_P311981	ribc2	NM_001243149 	1
CUST_985_PI425731107	LOC568600	XM_009305304 	1
A_15_P148516	zdhhc13	NM_001008650 	1
A_15_P157501	erbb2ip	NM_001193543 	1
A_15_P659211	hccsb	NM_201451 	1
CUST_12640_PI425730982	ryr2a	XM_009300703 	1
CUST_1833_PI425730982	agmo	NM_212883 	1
CUST_716_PI425731064	vps45	NM_001256656 	1
CUST_3193_PI425730982	cbl	NM_001007330 	1
CUST_2832_PI425730982	tmem237b	NM_001004636 	1
CUST_1724_PI425731064	si:ch73-64e16.2	XM_009291391 	1
CUST_1159_PI425730982	sigmar1	NM_200977 	1
A_15_P135521	si:ch73-106k19.2	XM_009306309 	1
CUST_15591_PI425730982	LOC100001887	XM_005155756 	1
A_15_P416750	wu:fi34b01	XM_001338062 	1
A_15_P758236	si:dkey-79f11.9	XM_009306125 	1
CUST_1934_PI425731064	nhlrc2	XM_009306763 	1
A_15_P139861	kdm6bb	NM_001030178 	1
CUST_7827_PI425730982	tmem26b	NM_001114592 	1
A_15_P153046	mmp23bb	NM_001017890 	1
A_15_P630646	mespba	NM_131552 	1
CUST_22290_PI425730982	LOC571338	XM_005167113 	1
CUST_3581_PI425730982	crygs1	NM_001013276 	1
A_15_P621071	yipf3	NM_199907 	1
CUST_3681_PI425730982	faim2a	NM_001013518 	1
A_15_P285866	ctnnd2b	NM_001193651 	1
A_15_P683911	atf7ip2	XM_009299462 	1
CUST_5222_PI425730982	brat1	NM_001040305 	1
A_15_P620666	mhc1ze	NM_194425 	1
A_15_P715306	jak2a	NM_131093 	1
A_15_P207741	jam3b	NM_001082863 	1
A_15_P630946	fam133b	NM_001080087 	1
CUST_7432_PI425730982	asmt2	NM_001110477 	1
A_15_P300611	zgc:162324	NM_001110023 	1
A_15_P177071	ba1	NM_131020 	1
A_15_P130746	pparg	NM_131467 	1
A_15_P100269	med24	NM_001039062 	1
A_15_P460110	adam10b	NM_200420 	1
A_15_P161841	cyp46a1.1	NM_001020522 	1
A_15_P669786	si:dkey-229b18.3	XM_682097 	1
A_15_P275896	LOC100006986	XM_009292304 	1
CUST_14252_PI425730982	wu:fc41e04	XM_002666959 	1
A_15_P646286	zgc:101100	NM_001003563 	1
A_15_P551687	LOC571463	XM_009302150 	1
A_15_P651639	LOC100150305	XM_001921660 	1
CUST_7172_PI425730982	siglec15l	NM_001102649 	1
A_15_P187481	slc1a9	NM_001190759 	1
A_15_P625581	atp5l	NM_199757 	1
A_15_P600312	zgc:154086	NM_001077327 	1
CUST_15040_PI425730982	LOC100149366	XM_009299162 	1
A_15_P116496	zgc:112018	NM_001013467 	1
CUST_13744_PI425730982	osbpl3b	XM_009292271 	1
A_15_P170496	fam26f	NM_001079661 	1
A_15_P174821	bdh1	NM_001089509 	1
A_15_P501072	lztr1	NM_001080605 	1
A_15_P111869	mex3b	NM_001080993 	1
A_15_P207241	upk3b	NM_001100063 	1
A_15_P645361	mybphb	NM_001100137 	1
A_15_P759541	dtx1	NM_001127308 	1
A_15_P628076	thrb	NM_131340 	1
CUST_5778_PI425730982	zgc:152857	NM_001076729 	1
A_15_P170176	mogs	NM_001080190 	1
A_15_P414370	smek1	NM_001044809 	1
A_15_P378085	ush1g	XM_680140 	1
A_15_P209416	tmem51b	NM_001102617 	1
CUST_6651_PI425730982	tgfbrap1	NM_001083554 	1
CUST_1131_PI425730982	chek1	NM_200193 	1
A_15_P581592	nqo1	NM_205542 	1
CUST_13715_PI425730982	si:dkey-283b15.2	XM_692693 	1
A_15_P149031	zgc:101731	NM_001025558 	1
CUST_11680_PI425730982	LOC101886682	XM_005170525 	1
A_15_P120181	hibadhb	NM_201160 	1
A_15_P724436	gnb1a	NM_212609 	1
A_15_P257636	zgc:158357	NM_001080642 	1
A_15_P140346	il26	NM_001020799 	1
A_15_P644736	pcdh2g7	NM_001024180 	1
A_15_P220496	fgf17	NM_214808 	1
A_15_P141436	alcamb	NM_212634 	1
A_15_P163241	taar12a	NM_001083109 	1
A_15_P420405	mybpc3	NM_001044349 	1
A_15_P216441	cracr2b	NM_001080081 	1
A_15_P175941	fam114a1	NM_001089478 	1
A_15_P653226	zgc:171967	XM_009302025 	1
A_15_P264476	tmem70	XM_002660832 	1
CUST_7349_PI425730982	zgc:173915	NM_001109850 	1
A_15_P258511	fev	XM_009304518 	1
CUST_3873_PI425730982	fam50a	NM_001017636 	1
CUST_776_PI425730982	rnf145b	NM_199763 	1
A_15_P265416	zgc:195081	NM_001130772 	1
CUST_5062_PI425730982	lsamp	NM_001039832 	1
CUST_6978_PI425730982	ftr54	NM_001099428 	1
A_15_P762761	bbs4	NM_001077466 	1
A_15_P120775	gabarapl2	NM_205723 	1
A_15_P756441	ucp1	NM_199523 	1
A_15_P597712	nucks1a	NM_001004601 	1
A_15_P100489	zgc:110788	NM_001013288 	1
A_15_P746361	si:ch211-14a17.7	NM_001007180 	1
A_15_P193335	gria3a	NM_198339 	1
A_15_P741516	alcama	NM_131000 	1
CUST_2032_PI425731107	LOC570301	XM_009294260 	1
A_15_P381335	rbl1	NM_001130610 	1
A_15_P134366	taf2	NM_001003835 	1
CUST_10541_PI425730982	zgc:195081	NM_001130772 	1
A_15_P111280	eaf1	NM_001002115 	1
A_15_P272601	fuca1.1	NM_212740 	1
A_15_P739301	skia	NM_130935 	1
A_15_P279941	chd9	XM_001922501 	1
A_15_P431090	neu1	NM_001044909 	1
A_15_P164646	prkcz	NM_001030091 	1
CUST_891_PI425731107	zzef1	XM_009301579 	1
A_15_P111307	tbpl1	NM_205722 	1
A_15_P169316	kdelc2	NM_001098745 	1
CUST_1607_PI425730982	tescb	NM_205693 	1
A_15_P720076	fkbp8	NM_200884 	1
A_15_P147746	spag7	NM_201125 	1
A_15_P575252	adcy3	NM_001162542 	1
A_15_P570092	tmem69	NM_001287082 	1
A_15_P283891	nrxn3a	NM_001080009 	1
CUST_19232_PI425730982	si:dkey-30e9.6	XM_701189 	1
A_15_P191451	trim35-27	NM_199878 	1
CUST_205_PI425731107	LOC101885341	XM_009293375 	1
A_15_P108092	gpc4	NM_131860 	1
A_15_P134376	zbtb33	XM_005173251 	1
A_15_P193446	rab40c	NM_001040348 	1
A_15_P155391	zgc:165627	NM_001099249 	1
A_15_P184116	moxd1	NM_001045206 	1
A_15_P170636	cd74a	NM_131590 	1
A_15_P106898	fth1a	NM_131585 	1
CUST_823_PI425730982	dbr1	NM_199653 	1
A_15_P503352	tomm40	NM_199614 	1
CUST_7242_PI425730982	tas2r3	NM_001105135 	1
A_15_P622511	grinab	NM_201208 	1
A_15_P139501	srd5a1	NM_001076653 	1
A_15_P110815	negr1	NM_001003851 	1
A_15_P192881	nucb1	NM_001045463 	1
A_15_P469600	wu:fb52c12	XM_005169617 	1
A_15_P118185	marcksb	NM_001015060 	1
A_15_P176541	hcst	NM_001100102 	1
A_15_P281337	mhc1uba	NM_131471 	1
A_15_P630151	tmem205	NM_001080686 	1
A_15_P734581	LOC100537972	XM_009301068 	1
A_15_P682291	si:ch211-186e20.2	XM_001922172 	1
CUST_13380_PI425730982	LOC792628	XM_001332159 	1
A_15_P102978	mxtx2	NM_001079816 	1
A_15_P218606	palm1b	XM_005163395 	1
A_15_P192706	usp2a	NM_001008574 	1
A_15_P405615	ubl7a	NM_001017765 	1
A_15_P645196	ctnna1	NM_131456 	1
